icode,brand,name,discount,old_price,price,qty,scraped_at
9258336,雅漾,活泉水噴霧5入,42折,3250,1388,378,2026-08-16 23:00:01
14951759,理膚寶水,MELA B3 淡斑精華,36折,10566,3865,190,2026-08-16 23:00:01
14967318,MEDITHERAPY,玻尿酸精華,29折,3300,959,265,2026-08-16 23:00:01
8047529,寶拉珍選,2%水楊酸身體乳3入,61折,3240,1990,313,2026-08-16 23:00:01
13092955,幫寶適,一級幫散熱拉拉褲/黏貼尿布2箱,8折,2858,2298,486,2026-08-16 23:00:01
8905185,大成,常溫慢熬雞精25入+唐寧茶禮盒,57折,3500,1999,72,2026-08-16 23:00:01
8106681,國際牌,610公升一級變頻冰箱,77折,39800,30888,36,2026-08-16 23:00:01
14038302,Medimix,草本精油美肌皂30入,11折,6800,799,345,2026-08-16 23:00:01
10362698,花王,NEW柔舒蒸氣眼罩72入,55折,2340,1299,220,2026-08-16 23:00:01
7679325,船井生醫,極纖錠獨家增量版4盒(共448顆)+夜孅2袋(共40顆),27折,16120,4499,67,2026-08-16 23:00:01
15039735,陶板屋,和風洋食套餐(平假日適用),94折,768,729,487,2026-08-16 23:00:01
12137812,ARIEL,4D抗菌洗衣球120顆,74折,1079,799,439,2026-08-16 23:00:01
15577683,Samsung 三星,Galaxy Z Fold8 (12G/256G),91折,59900,54900,19,2026-08-16 23:00:01
14444535,Apple,iPhone 17(512G/6.3吋),97折,36900,35900,21,2026-08-16 23:00:01
14376137,CeraVe 適樂膚,一日限定★長效清爽保濕乳 買2送10(臉部身體乳液/張凌赫同款),59折,1902,1138,300,2026-08-16 23:00:01
10889088,台酒生技,酒粕精粹青春露5入,33折,3000,1018,159,2026-08-16 23:00:01
15553788,Google,Pixel 11 Pro 5G 6.3吋(16G/512G),91折,44889,40990,48,2026-08-16 23:00:01
15565296,PowerSync 群加,7開6插防雷擊延長線1.8M,5折,1398,699,48,2026-08-16 23:00:01
15077943,Branden,SAFEPLUS輕量安心防盜側背包,78折,2148,1688,119,2026-08-16 23:00:01
15457201,THE VEGAN 樂維根,經典植物優蛋白 2入組 1KG/袋,6折,2160,1299,430,2026-08-16 23:00:01
14942665,ONEHOUSE格拉斯人體工學電腦椅,ONEHOUSE格拉斯人體工學電腦椅,38折,7800,2999,55,2026-08-16 23:00:01
15506524,Acer,送包鼠★14吋Ultra 5 AI浮光銀,84折,32900,27688,20,2026-08-16 23:00:01
13267440,國際牌,桌上型自動洗碗機,72折,21900,15900,28,2026-08-16 23:00:01
11331449,蒂巴蕾,贈80mo★ 6件組-桑蠶絲無痕抗菌內褲,59折,1199,718,489,2026-08-16 23:00:01
14434857,摩洛哥優油買100送200ml,摩洛哥優油買100送200ml,34折,5200,1799,177,2026-08-16 23:00:01
12584101,德國雙人,Enjoy不沾鍋湯鍋20cm附玻璃蓋,3折,3280,999,293,2026-08-16 23:00:01
13347369,歐舒丹,草本洗髮/潤髮乳500ml,49折,3040,1490,188,2026-08-16 23:00:01
13207382,聲寶,13KG變頻洗衣機,53折,16900,8999,37,2026-08-16 23:00:01
13896217,福華大飯店聯合住宿紙券,多館通用★溪頭/石門/台北/新竹/台中/高雄/墾丁,82折,3690,3059,153,2026-08-16 23:00:01
14811991,Nestle NAN HA 雀巢能恩水解,官方直營 3號部分水解蛋白奶粉6罐,86折,4614,4000,56,2026-08-16 23:00:01
14954320,Simply 新普利,晚美入睡夜酵凍(50入/盒)(x2盒),4折,4950,1980,151,2026-08-16 23:00:01
12966660,LONGCHAMP,經典原創/刺繡短把尼龍手提水餃包(小/多色選),85折,4300,3688,96,2026-08-16 23:00:01
14591631,dyson,HD16溫控負離子智慧吹風機,65折,16600,10900,142,2026-08-16 23:00:01
6043985,盛香珍,豐葵香瓜子3kg量販包,41折,1500,619,425,2026-08-16 23:00:01
13120348,成長天地,100cm桌面 兒童書桌椅,56折,13800,7777,55,2026-08-16 23:00:01
10063303,TRUU,酵母潔顏露2入,41折,4560,1899,196,2026-08-16 23:00:01
