icode,brand,name,discount,old_price,price,qty,scraped_at
14364756,Acer,送包鼠★14吋32G Ultra 7 AI筆電,89折,40900,36688,60,2026-08-13 14:03:02
15285846,Acer,送羅技滑鼠★15.6吋i7 RTX5060電競筆電,89折,46900,41888,4,2026-08-13 14:03:02
15101901,Philips 飛利浦,HX5191護齦音波牙刷,51折,5590,2880,148,2026-08-13 14:03:02
14107176,DR.WU,角鯊潤澤修復精華油3入,5折,6000,3000,100,2026-08-13 14:03:02
10419074,3M,抗菌菜瓜布激省優惠組-任選2組,54折,1090,599,500,2026-08-13 14:03:02
4908380,統一LP33,健字號益生菌膠囊*4盒,62折,4800,2995,150,2026-08-13 14:03:02
14177486,3M,細滑牙線棒1200支,6折,1497,911,350,2026-08-13 14:03:02
15394907,必勝客,2個十三吋鬆厚大比薩(口味10選2),29折,1320,389,794,2026-08-13 14:03:02
14508638,春風,輕柔膚觸抽取100抽x72包,64折,1090,699,499,2026-08-13 14:03:02
13405875,Bonnie House 植享家,橙花絲絨蜜露60ml三入組,0.9折,10140,990,250,2026-08-13 14:03:02
11460387,BASSO 巴碩,義大利純天然酪梨油 1000ml x3瓶,28折,4140,1199,260,2026-08-13 14:03:02
8891010,佳興冰果室,小瓶檸檬汁600mlx12入(原味/黃金檸檬任選),66折,1050,699,449,2026-08-13 14:03:02
15016421,DIKE,14吋DC變頻遙控扇 HLE140WT,51折,1590,818,99,2026-08-13 14:03:02
11150639,好奇,純水濕巾20/18包,69折,999,699,349,2026-08-13 14:03:02
15097603,蘭諾,衣物芳香豆補充4入,5折,1996,999,499,2026-08-13 14:03:02
15539470,Durex 杜蕾斯,001水性PU衛生套熱感潤滑裝1盒10入+標準裝2盒4入(共14入),65折,2597,1699,180,2026-08-13 14:03:02
9600839,IRIS,氣旋式超輕量無線手持吸塵器 SCD-141P,49折,4599,2288,100,2026-08-13 14:03:02
9393972,Donna 多納,室內貓/結紮貓飼料9kgx2包,8折,1238,999,149,2026-08-13 14:03:02
14895132,Jo Malone,滿室幽香藤枝擴香組 165ml,42折,3800,1599,190,2026-08-13 14:03:02
15333897,asics,CONTEND 10 D 4E慢跑鞋 (多款選),75折,1980,1499,250,2026-08-13 14:03:02
15130344,YOMIX 優迷,磁吸收納線組★四合一快充5000mAh超迷你半固態磁吸行動電源,23折,4170,999,150,2026-08-13 14:03:02
13399966,Bora,跟彈燈加強版BX-20PRO+力度鍵盤88鍵折疊式電鋼琴,42折,6998,2999,59,2026-08-13 14:03:02
10271187,金安德森,男士真皮短夾(多款),66折,1800,1199,200,2026-08-13 14:03:02
12671674,NEOFLAM,陶瓷鑄造輕量IH深炒鍋28cm-附蓋(不挑爐具 瓦斯爐電磁爐可用),3折,2990,899,1,2026-08-13 14:03:02
11028885,東元,4-5坪一級變頻冷暖,66折,26900,17900,20,2026-08-13 14:03:02
15307428,Owala,彈蓋+可拆式吸管運動水壺740ml,66折,899,599,36,2026-08-13 14:03:02
14861241,三星,65型4K智慧顯示器,71折,27900,19900,30,2026-08-13 14:03:02
15319594,六福萬怡酒店,敘日餐廳★午/晚餐吃到飽(假日+400),63折,1738,1111,280,2026-08-13 14:03:02
15528049,Acer,R5六核文書16G★螢幕超值組,92折,25990,23990,20,2026-08-13 14:03:02
14042714,理膚寶水,太空科技防曬亮白乳,44折,3462,1524,199,2026-08-13 14:03:02
9929266,m2 美度,超能膠原飲8盒囤貨組(64入),37折,13440,5080,499,2026-08-13 14:03:02
