icode,brand,name,discount,old_price,price,qty,scraped_at
14944494,Move Free 益節,UC-II加強型迷你錠6瓶(共180錠),55折,7194,3999,267,2026-08-07 10:45:02
12852369,亞培,安素優能基-穀物口味 HMB升級配方 800g x 2入,79折,2165,1720,187,2026-08-07 10:45:02
6349347,亞培,倍力素腫瘤癌症專用即飲配方220ml x24入,83折,6579,5475,87,2026-08-07 10:45:02
15422941,蘭蔻,超極限肌因撫紋抗皺筆20ml,7折,4213,2950,198,2026-08-07 10:45:02
12700966,BRAUN 百靈,智能變速 5系PRO電鬍刀★充電座組,59折,7188,4288,74,2026-08-07 10:45:02
12682044,Hoppi,嬰兒純水加蓋濕巾24包,78折,1060,829,375,2026-08-07 10:45:02
11936259,飛力士,免手持★全自動60張碎紙機,93折,3490,3250,239,2026-08-07 10:45:02
15477277,巴黎萊雅,紫熨斗撫紋眼霜2入,63折,2678,1699,488,2026-08-07 10:45:02
15218665,追覓科技,FP10 360°自滾集毛自清潔空氣清淨機,49折,25980,12980,26,2026-08-07 10:45:02
12249079,3ZeBra 三隻斑馬,好肩力｜斜方肌肩頸按摩器,67折,2980,1999,151,2026-08-07 10:45:02
13705808,Delonghi,ECAM 22.110.SB 全自動義式咖啡機,4折,36900,14900,41,2026-08-07 10:45:02
14583498,東元,12KG洗脫烘滾筒洗衣機,48折,26900,13111,35,2026-08-07 10:45:02
8666029,Sofy蘇菲,彈力貼身衛生棉,39折,1158,459,1,2026-08-07 10:45:02
14284910,大研生醫,EPA 1200 頂級魚油軟膠囊x4入(90粒/盒),38折,10080,3899,86,2026-08-07 10:45:02
10273229,乖乖,好運連年箱三入組,6折,867,528,440,2026-08-07 10:45:02
15425251,蘭蔻,極塑緊緻膠原霜50ml,47折,5890,2790,25,2026-08-07 10:45:02
15387600,UHA 味覺糖,鐵軟糖20日+鐵及葉酸軟糖20日,95折,520,499,673,2026-08-07 10:45:02
10719833,馬修嚴選,G+優格飲10入+贈能量優優格飲,78折,1150,899,170,2026-08-07 10:45:02
15491288,麥當勞,經典美式咖啡(冰)+吉事蛋堡,65折,84,55,4,2026-08-07 10:45:02
13604421,3M,無痕高承重304不鏽鋼收納架-任選,76折,2490,1899,106,2026-08-07 10:45:02
14107740,幫寶適,一級幫散熱拉拉褲/黏貼尿布5箱,74折,7145,5299,485,2026-08-07 10:45:02
14470326,Logitech 羅技,MX Master 4 無線滑鼠,88折,4190,3690,69,2026-08-07 10:45:02
13260069,雨傘王,BigRed太乾58 手開折疊傘(5級防潑水/超快乾傘布),63折,950,599,458,2026-08-07 10:45:02
11822051,DIADORA,男女輕量慢跑鞋(網路獨家),54折,1280,699,345,2026-08-07 10:45:02
8215792,貓王,新剋水靈屋頂防水塗料13.5L,47折,2499,1199,58,2026-08-07 10:45:02
9267042,汪喵星球,TOLI寵物地墊40x40cm*10片,69折,3000,2099,269,2026-08-07 10:45:02
14639455,Apple,iPhone 17 Pro(256G/6.3吋),95折,40700,38900,36,2026-08-07 10:45:02
10974018,潔美淨,安撫修護AI乳霜3入組,49折,4020,1999,91,2026-08-07 10:45:02
10592692,日本味王,暢快人生激速EX益生菌60袋X2盒,53折,3120,1683,144,2026-08-07 10:45:02
13875585,KOH COCONUT 酷椰嶼,100%椰子水 1Lx1箱(共12入),61折,1260,769,190,2026-08-07 10:45:02
14848566,24HRS,4件組★經典療癒色無痕內衣,55折,2720,1520,487,2026-08-07 10:45:02
15351340,TOWN’WEAR 棠葳,夏日圖騰印花棉質上衣(女上衣/女上著/棉T/短袖/T恤/落肩/涼感),97折,1000,979,0,2026-08-07 10:45:02
14809410,NEOFLAM,陶瓷雙鍋組30cm炒+28cm平,17折,8440,1499,491,2026-08-07 10:45:02
