icode,brand,name,discount,old_price,price,qty,scraped_at
15404240,海爾,218L一級冰箱,72折,13800,9999,26,2026-08-15 21:55:01
9418416,BLACKMORES 澳佳寶,迷你濃縮魚油 3入,62折,5097,3199,183,2026-08-15 21:55:01
15227107,PP 石墨烯,石墨烯粒線修復女內褲4件,33折,10880,3688,86,2026-08-15 21:55:01
10019468,朵舒,棉仔紙超厚柔150抽x84包,46折,1800,829,377,2026-08-15 21:55:01
12292295,台灣三洋,18KG變頻洗衣機,86折,19500,16900,31,2026-08-15 21:55:01
14996149,mo select,雙面蓋可水洗極凍涼感被,34折,1990,688,138,2026-08-15 21:55:01
14450650,Apple,iPhone 17 Pro Max(256G/6.9吋)(20W口袋快充行電組),95折,45400,43400,50,2026-08-15 21:55:01
14977973,杏輝醫藥,蓉憶記膠囊3入+白沙屯外出隨身藥盒,56折,10550,5980,48,2026-08-15 21:55:01
14217313,OLAY,水光小白瓶30ml-2入,57折,2398,1379,242,2026-08-15 21:55:01
6686848,HERAN 禾聯,無線手持吸塵器HVC-23E6B,47折,5688,2699,82,2026-08-15 21:55:01
11071919,百靈油,100ML*2+滾珠空瓶*1共200ML,91折,3619,3311,284,2026-08-15 21:55:01
5635825,TAKUMI,匠 日製岩紋鐵炒鍋28cm,29折,3080,899,160,2026-08-15 21:55:01
15077437,dyson,Ai掃拖機器人(熱活水洗地),87折,24900,21900,92,2026-08-15 21:55:01
13744704,東芝,65型QLED Google TV,45折,39900,17999,18,2026-08-15 21:55:01
14873420,ONEHOUSE丹邁多輪防水收納登機包,ONEHOUSE丹邁多輪防水收納登機包,31折,2800,888,260,2026-08-15 21:55:01
6453343,NISSIN 日清,咚兵衛油豆腐烏龍麵95g*12碗,61折,1140,699,290,2026-08-15 21:55:01
15538817,Gelovery 愷達生醫,鱸魚得水鱸魚精15包,7折,1680,1180,264,2026-08-15 21:55:01
15039734,王品集團,西堤牛排經典套餐,94折,768,729,300,2026-08-15 21:55:01
15059139,Lenovo,14吋Ultra 9 H版輕薄AI筆電,71折,45990,32990,20,2026-08-15 21:55:01
15094850,水魔素,木薯豆腐砂7L*6包,53折,1680,899,203,2026-08-15 21:55:01
11515499,Diptyque,淡香精75ml,64折,6500,4199,125,2026-08-15 21:55:01
11424524,妙妙熊,平紋棉柔巾10盒組,52折,1000,529,280,2026-08-15 21:55:01
15530093,中保防災科技,鋰電池滅火噴霧,84折,2590,2188,50,2026-08-15 21:55:01
13159317,獅王,固齒佳酵素牙膏10入,35折,2131,749,402,2026-08-15 21:55:01
14693549,NIKE 耐吉,ACG PEGASUS TRAIL 小飛馬 GTX ACG 越野鞋 慢跑鞋,48折,5400,2599,146,2026-08-15 21:55:01
14580680,agnes b.,超大牌限定↘Sport b. logo短袖T恤(多款),4折,2980,1200,99,2026-08-15 21:55:01
