icode,brand,name,discount,old_price,price,qty,scraped_at
15353915,Philips 飛利浦,RQ910/S716攜帶型旋式電鬍刀,62折,11280,7088,100,2026-08-06 13:35:44
15506183,NAUTICA,大學風LOGO純棉短袖T恤-3色可選,6折,2580,1548,90,2026-08-06 13:35:44
12602872,Suntory 三得利官方直營,Milcolla 蜜露珂娜 30包x3盒組,87折,5490,4831,100,2026-08-06 13:35:44
12641892,朵法,小粉紅精華30ml買1送1,46折,5500,2550,150,2026-08-06 13:35:44
15425248,蘭蔻,超極限小黑瓶PRO50ml,32折,11160,3627,200,2026-08-06 13:35:44
8037995,倍潔雅,花漾柔感150抽x84包,5折,1680,849,500,2026-08-06 13:35:44
14288419,禾聯,2入組-小冰棒製冷手持扇 HUF-17HM010,38折,2580,999,99,2026-08-06 13:35:44
13875042,任天堂,Switch 2 主機,87折,16350,14380,50,2026-08-06 13:35:44
8943563,Project Mars？火星計畫,Mini2肌肉放鬆筋膜按摩槍,54折,5990,3288,50,2026-08-06 13:35:44
13913204,飛利浦,14.2L抗敏清淨除濕機-DE5306,64折,13990,8999,80,2026-08-06 13:35:44
13428312,桂格,燕麥高蛋白雙纖高鈣燕麥奶2罐,57折,1300,748,450,2026-08-06 13:35:44
15054743,益比喜,小晶晶葉黃素凍汪汪隊限量版100入,4折,6900,2780,500,2026-08-06 13:35:44
14041253,Wakamoto 若元,若元益生菌 三瓶組(220錠/瓶_食品、獨家高活性WB菌、使排便順暢、日本原裝),75折,3180,2410,107,2026-08-06 13:35:44
14592282,IHouse,雙人5尺收納掀床+尾二抽床底,22折,35360,7990,20,2026-08-06 13:35:44
15276699,DR.WU,角鯊玫瑰果賦活精華油豪華組,5折,5700,2850,120,2026-08-06 13:35:44
15453343,Apple,S+級福利品 iPad Pro 11吋/M4晶片/WiFi/512G,9折,43900,39888,30,2026-08-06 13:35:44
11867900,Oral-B,薄荷微蠟牙線24入,33折,1788,599,500,2026-08-06 13:35:44
9509497,滿意寶寶,瞬潔乾爽輕巧褲L-XXL(任選2箱組),68折,3512,2398,500,2026-08-06 13:35:44
10112878,orionjako,韓國海苔96入組 (12入/包x8包),62折,1120,699,450,2026-08-06 13:35:44
9906231,SK-II,男士青春露230ml送90ml,56折,10488,5922,55,2026-08-06 13:35:44
14019718,成長天地,新實木100cm/120cm兒童書桌椅任選組,52折,16800,8888,80,2026-08-06 13:35:44
15137218,華碩,15.6吋Core5輕薄16G,79折,24999,19999,50,2026-08-06 13:35:44
15468434,小米,Xiaomi 15T 6.83吋 5G(12G/256G),92折,13999,12999,30,2026-08-06 13:35:44
13954694,NIKE 耐吉,PEGASUS 41 小飛馬 男女運動鞋 慢跑鞋 (多款任選),47折,3800,1799,200,2026-08-06 13:35:44
14086690,NIKE,DUNK LOW 百搭休閒鞋,52折,3400,1799,500,2026-08-06 13:35:44
9177935,法國Staub,方形陶缽烤盤4+1件組,43折,2290,990,310,2026-08-06 13:35:44
13892968,WEDGWOOD,英倫寢具天絲床包枕套組,23折,8480,1999,150,2026-08-06 13:35:44
15463303,ELPHECO,不鏽鋼雙開感應垃圾桶15L,33折,2990,999,91,2026-08-06 13:35:44
14284699,嘿囉,無榖貓糧15磅,61折,3600,2199,201,2026-08-06 13:35:44
15092987,KlassiC.,輕行者多功能摺疊墨鏡；多款任選（買就送墨鏡收納包）,84折,1980,1680,200,2026-08-06 13:35:44
15231039,聖保羅烘焙花園,杜拜巧克力Q餅2盒(4入/盒),75折,1250,940,315,2026-08-06 13:35:44
11660056,Baicycle,S3 小白電動折疊腳踏車 smart3.0,65折,19800,12988,23,2026-08-06 13:35:44
