icode,brand,name,discount,old_price,price,qty,scraped_at
14436741,舒特膚,AD舒敏凝膠59ml 2入,75折,1780,1335,230,2026-08-12 14:03:01
12301292,舒特膚,買1送1BHR淨白安撫霜 50g,5折,2180,1090,199,2026-08-12 14:03:01
12700966,BRAUN 百靈,智能變速 5系PRO電鬍刀★充電座組,59折,7188,4288,39,2026-08-12 14:03:01
14747614,立得清,抗病毒•抗菌地板濕拖巾-24抽x12包(專利級守護·溫和又有效)+贈酒精擦10抽*2包+抗菌濕巾8抽3包,62折,1540,969,200,2026-08-12 14:03:01
12137812,ARIEL,4D抗菌洗衣球120顆,74折,1079,799,499,2026-08-12 14:03:01
15491289,麥當勞,豬肉滿福堡加蛋+經典美式咖啡(冰),52折,110,58,9,2026-08-12 14:03:01
15416394,理膚寶水,MELA PRO美白禮盒,39折,5636,2208,200,2026-08-12 14:03:01
15285172,Philips 飛利浦,mo獨家HX5070音波牙刷雙入組,94折,3800,3580,150,2026-08-12 14:03:01
14411766,安耐曬,金鑽防曬露NA 5X版x2入,47折,1900,909,250,2026-08-12 14:03:01
13193762,UCC,BLACK無糖咖啡185gx2箱(共60入),46折,1800,829,400,2026-08-12 14:03:01
14085036,LG,13KG直立洗衣機,6折,16490,9999,50,2026-08-12 14:03:01
15561367,富邦悍將,進擊的巨人聯名球迷版球衣(黑_XXS-4XL),96折,2680,2580,300,2026-08-12 14:03:01
12669400,彩花蜜,台灣龍眼蜂蜜3kg,45折,1900,869,350,2026-08-12 14:03:01
10273229,乖乖,好運連年箱三入組,6折,867,528,569,2026-08-12 14:03:01
10222857,EPSON,LW-C610藍牙標籤機★高解析度安心無毒家用推薦,85折,3490,2990,25,2026-08-12 14:03:01
14288419,禾聯,2入組-小冰棒製冷手持扇 HUF-17HM010,38折,2580,999,98,2026-08-12 14:03:01
15452503,饗食天堂,平日下午茶券4張,98折,3336,3280,66,2026-08-12 14:03:01
15110257,YOMIX 優迷,一放即開MagSafe雙面磁吸雙用自動三腳架藍牙自拍棒,66折,1780,1190,120,2026-08-12 14:03:01
14247638,Crucial 美光,X9 1TB外接SSD,89折,3999,3569,49,2026-08-12 14:03:01
13063168,LG,5.1.1環繞聲霸S70TR,72折,21900,15900,20,2026-08-12 14:03:01
15387600,UHA 味覺糖,鐵軟糖20日+鐵及葉酸軟糖20日,95折,520,499,700,2026-08-12 14:03:01
12864858,滿意寶寶,純水濕巾24包,46折,1950,909,152,2026-08-12 14:03:01
9991573,法國Staub,圓型琺瑯鑄鐵鍋18cm,56折,7100,3999,80,2026-08-12 14:03:01
12797566,伊萊克斯,極致美味500半自動義式咖啡機(E5EC1-51ST/E5EC1-51MB),33折,8990,2990,97,2026-08-12 14:03:01
10456013,銀湯匙,貓罐頭70g*48罐,49折,2830,1395,469,2026-08-12 14:03:01
12861238,LG,CordZero A9K+寵物家庭濕拖無線吸塵器A9K-MAXMOP3,57折,21900,12499,50,2026-08-12 14:03:01
15035514,摩洛哥優油100ml買1送1,摩洛哥優油100ml買1送1,32折,4000,1299,197,2026-08-12 14:03:01
12939944,輝葉,X-Runner智能電動跑步機 HY-20612,45折,39800,18300,20,2026-08-12 14:03:01
12634515,SEBAMED,潔膚露1000ml共2入,34折,2040,711,418,2026-08-12 14:03:01
14974265,Apple,iPhone 17 Pro(256G/6.3吋)(磁吸皮革支架+編織線組),94折,40600,38400,50,2026-08-12 14:03:01
15430706,白鴿,洗衣精4包+洗衣球30顆,51折,1065,549,500,2026-08-12 14:03:01
12547922,DeKo,買1送1 韓系60支天絲床包枕套組,12折,9360,1199,289,2026-08-12 14:03:01
13019840,moz,雙色洞洞餅乾鞋/洞洞鞋/雨鞋/防水鞋(多色),57折,2780,1599,200,2026-08-12 14:03:01
15023945,m2 美度,超能膠原新生飲5盒組(8入/盒),48折,6900,3380,498,2026-08-12 14:03:01
15411102,霓淨思,1.8%A醇精華2入,5折,2700,1350,250,2026-08-12 14:03:01
15099269,阿財伯,泰國金枕頭冷凍榴槤肉10盒(原裝進口),49折,3500,1749,224,2026-08-12 14:03:01
