icode,brand,name,discount,old_price,price,qty,scraped_at
12993167,JU SHOP,男女款急速乾爽工裝涼感褲(多款任選),36折,1280,469,640,2026-08-17 00:03:02
14415176,象印,買1送1彈蓋花漾保溫杯480ml,33折,3600,1188,150,2026-08-17 00:03:02
13994483,迪朗奇,EC890半自動義式咖啡機,46折,20900,9690,50,2026-08-17 00:03:02
15101902,Philips 飛利浦,HX9924鑽石智能音波牙刷,63折,11400,7190,77,2026-08-17 00:03:02
15559818,NEW BALANCENB,327系列_復古鞋(多款任選),56折,2980,1688,298,2026-08-17 00:03:02
8143213,LG,寵物版循環空氣清淨機,48折,26800,12900,49,2026-08-17 00:03:02
13427532,Apple,AirPods 4,84折,4980,4190,50,2026-08-17 00:03:02
15437770,飲后,超孅飲6盒(15包/盒),38折,7680,2980,200,2026-08-17 00:03:02
11105043,GJS 金敬順黃金9999金條 元寶 金豆 多選款(金重:1.00錢),GJS 金敬順黃金9999金條 元寶 金豆 多選款(金重:1.00錢),88折,20888,18588,160,2026-08-17 00:03:02
14107176,DR.WU,角鯊潤澤修復精華油3入,5折,6000,3000,98,2026-08-17 00:03:02
15340120,IMPACT 怡寶,未來星球輕量／輕量成長型護脊書包｜momo限定｜120cm以上(國小 小學 兒童 學生),6折,2990,1799,197,2026-08-17 00:03:02
11663033,dyson,V12 TC強勁輕量智慧無線吸塵器(雙主吸頭),71折,24900,17900,106,2026-08-17 00:03:02
13878318,dyson,HT01二合一吹風直髮器(絲絨紅禮盒版),54折,16600,8999,150,2026-08-17 00:03:02
7177530,ALAI寢飾工場,買1送1 天絲床包枕套組,2折,3960,799,400,2026-08-17 00:03:02
15248939,雅詩蘭黛,小棕眼霜15ml兩入,44折,3999,1799,173,2026-08-17 00:03:02
12526823,蒂巴蕾,贈100mo★2件組 無痕無鋼圈內衣,66折,1198,798,399,2026-08-17 00:03:02
13281442,東芝,50型QLED TV,44折,24900,11111,29,2026-08-17 00:03:02
12273747,NIKE,OFFCOURT 運動拖鞋(男女多款),41折,1800,750,299,2026-08-17 00:03:02
11060709,滿意寶寶,極上呵護黏貼紙尿褲M-XL(任選2箱組),74折,4598,3418,499,2026-08-17 00:03:02
14037284,氣機科技,撓定Vita 隨身能量淨化穩定機,87折,8799,7743,100,2026-08-17 00:03:02
14633157,金豐盛,經典嫩雞胸12包,74折,808,599,510,2026-08-17 00:03:02
10371748,娘家官方直營,益生菌3盒組(40包/盒),53折,6000,3188,299,2026-08-17 00:03:02
13028656,烏石港OA/凱渡酒店,聯合住宿券,48折,7260,3499,140,2026-08-17 00:03:02
15486844,南寶樹脂,彈性補牆膏 5kg,58折,1480,869,39,2026-08-17 00:03:02
14035038,鐵鎚,除臭貓砂40磅*2組,55折,1998,1099,499,2026-08-17 00:03:02
14833199,HP 惠普,15吋R5超高CP值筆電,63折,25339,15999,15,2026-08-17 00:03:02
8037995,倍潔雅,花漾柔感150抽x84包,5折,1680,849,498,2026-08-17 00:03:02
15465761,歐洲屋,德國草本液-Floradix鐵元2入組,81折,2560,2099,300,2026-08-17 00:03:02
15467478,阿原,艾草皂100gx5入,65折,1900,1249,238,2026-08-17 00:03:02
15370198,Apple,A+級福利品 iPhone 16 Pro 256G 6.3吋,89折,31693,28499,15,2026-08-17 00:03:02
15247254,JKKWATER,日本名水13℃礦泉水500mlx48入,32折,2170,699,365,2026-08-17 00:03:02
