icode,brand,name,discount,old_price,price,qty,scraped_at
14175260,法國皇家,理想體態成貓飼料15kg,72折,4550,3299,495,2026-08-19 12:30:01
14009210,BRITA,愛奴娜濾水壺組(共1壺13芯),35折,5910,2099,554,2026-08-19 12:30:01
15114562,Wedar 薇達,精萃沙棘果油+MCT 6盒組(30顆/盒),26折,5280,1388,249,2026-08-19 12:30:01
15506025,華碩,Ultra 5輕薄16G/OLED,92折,37999,34999,50,2026-08-19 12:30:01
12638823,BRITA,去水垢濾心(12入裝),6折,3276,1988,436,2026-08-19 12:30:01
15491289,麥當勞,豬肉滿福堡加蛋+冰美式,52折,110,58,9,2026-08-19 12:30:01
7851424,MarCella 瑪榭,7件組★無縫抗菌內褲-薄感中高腰,56折,1953,1111,492,2026-08-19 12:30:01
13556718,海爾,75型QLED智慧TV,56折,29988,16988,22,2026-08-19 12:30:01
13884113,Lenovo,Legion Tab Gen 3 12G/256G,72折,17990,12990,49,2026-08-19 12:30:01
11150640,好奇,純水濕巾30包,65折,1560,1029,319,2026-08-19 12:30:01
13279705,ARIEL,抗菌抗臭洗衣精2+6組,57折,1398,799,449,2026-08-19 12:30:01
12608285,大同,10人份不鏽鋼電鍋光耀藍,7折,3890,2740,53,2026-08-19 12:30:01
14782143,神奇柑仔店番外套書：歡迎光臨錢天堂與天獄園,神奇柑仔店番外套書：歡迎光臨錢天堂與天獄園,55折,1070,593,294,2026-08-19 12:30:01
14587016,WEIDER 威德益生菌x2盒(3gx90包/盒)(美式賣場/益生菌順暢/酵素),WEIDER 威德益生菌x2盒(3gx90包/盒)(美式賣場/益生菌順暢/酵素),81折,2200,1799,173,2026-08-19 12:30:01
13901279,MIT iLook,冰冰被/冰絲床包-2入組,21折,4360,918,319,2026-08-19 12:30:01
15470388,LEVIS,線上獨家 女生牛仔褲 多款任選,4折,4390,1790,155,2026-08-19 12:30:01
13506797,歐姬兒,升級版凍齡蜂王乳凝露EX6入,36折,12600,4622,62,2026-08-19 12:30:01
12584102,德國雙人,Enjoy不沾鍋炒鍋30cm附玻璃蓋,34折,4980,1699,179,2026-08-19 12:30:01
9709538,大研生醫,淨密樂蔓越莓甘露糖粉包24包X5盒,39折,5625,2199,283,2026-08-19 12:30:01
15535333,石頭科技,Qrevo 2 Pro掃拖機器人,42折,39999,16999,42,2026-08-19 12:30:01
15491296,麥當勞,大麥克+勁辣雞腿堡雙人套餐,69折,432,299,733,2026-08-19 12:30:01
15401637,契爾氏,金盞花精華化妝水500ml,39折,6002,2385,155,2026-08-19 12:30:01
15112589,Branden,SAFEPLUS輕量安心防盜後背包,75折,3450,2590,108,2026-08-19 12:30:01
14857233,Logitech G,PRO X 2 SUPERSTRIKE類比滑鼠,84折,5190,4390,75,2026-08-19 12:30:01
13521230,巴黎卡詩,奢光小金油買75送60ml,46折,5000,2340,193,2026-08-19 12:30:01
14159002,杏輝醫藥,優倍多 強力苦瓜胜肽膠囊 5入,45折,6995,3195,149,2026-08-19 12:30:01
13614871,IRIS,輕量無線吸塵器SCD-185P,83折,3599,2999,83,2026-08-19 12:30:01
15259005,臻御行,台灣水果乾任選3袋,5折,1101,559,348,2026-08-19 12:30:01
13117637,紐崔斯,黑鑽貓糧+凍乾4.5kg,55折,3400,1899,245,2026-08-19 12:30:01
13481995,ASUS 華碩,WiFi 7 雙頻 Mesh 路由器,93折,7999,7488,38,2026-08-19 12:30:01
13704397,湛盧咖啡,經典綜合濾掛咖啡2盒(共72包;中焙/深焙任選),82折,1446,1199,215,2026-08-19 12:30:01
13464864,億光,50W LED吸頂燈2入組,33折,5600,1899,130,2026-08-19 12:30:01
9602965,知覺優格,水果優格飲11入組+贈1獨享杯,68折,1258,868,315,2026-08-19 12:30:01
