icode,brand,name,discount,old_price,price,qty,scraped_at
12787366,BRITA,5重龍濾水器組(共1機4芯),49折,9250,4580,189,2026-08-19 21:55:01
12638823,BRITA,去水垢濾心(12入裝),6折,3276,1988,409,2026-08-19 21:55:01
13289938,recolte 麗克特,無線萬用調理機,74折,3990,2980,386,2026-08-19 21:55:01
15491296,麥當勞,大麥克+勁辣雞腿堡雙人套餐,69折,432,299,375,2026-08-19 21:55:01
12984065,Whirlpool 惠而浦,15L高效除濕機 WDEE15TW,52折,12400,6511,43,2026-08-19 21:55:01
12608285,大同,10人份不鏽鋼電鍋光耀藍,7折,3890,2740,55,2026-08-19 21:55:01
10116136,倍潔雅,舒感柔韌150抽x70包,52折,1350,709,296,2026-08-19 21:55:01
13992889,華碩,Ultra5輕薄16G/OLED,91折,32900,29999,43,2026-08-19 21:55:01
7390178,台鹽,海洋鹼性離子水850mlx60入,62折,1905,1197,192,2026-08-19 21:55:01
15491289,麥當勞,豬肉滿福堡加蛋+冰美式,52折,110,58,7,2026-08-19 21:55:01
9486380,雅詩蘭黛,粉持久粉底液買1送2,77折,3100,2400,191,2026-08-19 21:55:01
8532502,cama cafe,尋豆師精選咖啡豆3包(454g/包;風味任選),78折,1125,888,327,2026-08-19 21:55:01
13929786,3M,可水洗涼感涼夏被,36折,5190,1899,198,2026-08-19 21:55:01
12797999,mo select,日本製今治薩馬爾罕長纖棉浴巾2入組,3折,2960,899,89,2026-08-19 21:55:01
15350834,中元普渡拜拜箱 闔家平安特惠7件組,中元普渡拜拜箱 闔家平安特惠7件組,76折,783,599,309,2026-08-19 21:55:01
14645690,健康優見,葉黃素軟膠囊10瓶+贈維生素C 2瓶,43折,4555,1999,338,2026-08-19 21:55:01
14169450,華碩,16吋i5HX版滿血RTX5060,92折,51999,47999,40,2026-08-19 21:55:01
11821954,達摩本草,92%高濃度魚油10入（共1200顆),33折,19000,6399,44,2026-08-19 21:55:01
14191512,Baicycle,U8 PRO電動折疊車,69折,22800,15888,18,2026-08-19 21:55:01
14148896,adidas 愛迪達,防曬連帽外套 抗UV 薄外套 寬鬆 女款(多款任選),51折,2290,1190,288,2026-08-19 21:55:01
9089402,輝葉,WULA超有力小沙發按摩椅,35折,56800,19999,28,2026-08-19 21:55:01
14258231,J&H collection,舒適百搭便捷外出質感增高休閒鞋 涼鞋 淑女鞋(共三款),31折,2250,699,111,2026-08-19 21:55:01
9185848,宜得利家居,半皮3人用沙發,9折,24900,22410,10,2026-08-19 21:55:01
8013536,白熊,洗碗精4kg*4入,75折,796,599,239,2026-08-19 21:55:01
4850950,添寧,新升級 長效/夜用型紙尿褲M-XL,68折,1890,1299,480,2026-08-19 21:55:01
15222080,NEW BALANCENB,574系列_復古鞋(多款任選),56折,2980,1688,288,2026-08-19 21:55:01
13554585,法國Staub,圓型鑄鐵鍋16cm+鍋蓋架,4折,9788,3999,74,2026-08-19 21:55:01
14084798,HERAN禾聯瞬熱溫水SPA洗淨便座,HERAN禾聯瞬熱溫水SPA洗淨便座,72折,7990,5790,127,2026-08-19 21:55:01
15450282,ARMANI,高訂持久霧光氣墊粉餅,45折,6214,2850,44,2026-08-19 21:55:01
14019529,BRITA,ModelONE+濾芯13芯組,39折,22650,8888,16,2026-08-19 21:55:01
5348265,老協珍,熬雞精14入2盒+人蔘精12入,68折,4480,3080,70,2026-08-19 21:55:01
15479163,Apple,2026 iPad Air M4晶片/11吋/WiFi/256G,91折,30370,27900,24,2026-08-19 21:55:01
8064188,太生利,液態皂1000mlx3入,3折,3260,988,46,2026-08-19 21:55:01
15133669,BRITA,純淨濾水壺組(共1壺8芯),44折,4015,1800,120,2026-08-19 21:55:01
