date,slot,icode,brand,name,discount,price,qty_open,mid_qty,qty_close,sold,sold_out,sell_rate
2026/08/06,22:00,15114914,Philips 飛利浦,XP9404旗艦AI奢享旋護式電鬍刀,63折,20880,50,19,31,否,62.0
2026/08/06,22:00,13224566,m2美度,超能膠原飲100包組,42折,7280,500,473,27,否,5.4
2026/08/06,22:00,9047365,High Tea,黃金蕎麥茶15入x5袋,38折,849,400,377,23,否,5.8
2026/08/06,22:00,14696320,新紅薑黃先生200顆/瓶任選5瓶-日用加強版/夜用升級版(共1000顆 日本原裝 天然紅薑黃錠 薑黃精油,新紅薑黃先生200顆/瓶任選5瓶-日用加強版/夜用升級版(共1000顆 日本原裝 天然紅薑黃錠 薑黃精油,45折,4500,110,90,20,否,18.2
2026/08/06,22:00,9509497,滿意寶寶,瞬潔乾爽輕巧褲L-XXL(任選2箱組),68折,2398,500,481,19,否,3.8
2026/08/06,22:00,11906090,SWAROVSKI 施華洛世奇,缺貨排隊款★璀璨水晶飾品均一價(多款選),34折,1868,38,21,17,否,44.7
2026/08/06,22:00,15085501,VIGILL 婦潔,好禮多重贈★極植零菌免洗內褲_60入組,75折,1739,231,222,9,否,3.9
2026/08/06,22:00,14620245,GENG YUAN 耕沅,100%冷壓初榨紫蘇油250ml x 3入,57折,1199,260,251,9,否,3.5
2026/08/06,22:00,15235447,LATIB韓國熱銷晨間保養橄欖油檸檬飲(30入/盒),LATIB韓國熱銷晨間保養橄欖油檸檬飲(30入/盒),85折,2570,71,62,9,否,12.7
2026/08/06,22:00,14037867,石頭科技,F25 ACE Combo 五合一AI全能吸塵洗地機,39折,13888,19,11,8,否,42.1
2026/08/06,22:00,15510578,Samsung 三星,Galaxy Z Fold8 5G 7.6吋,9折,59900,10,4,6,否,60.0
2026/08/06,22:00,10834226,JHT,i芯深捏臀感零重力按摩椅,54折,27000,10,5,5,否,50.0
2026/08/06,22:00,9486380,雅詩蘭黛,粉持久粉底液,77折,2400,200,195,5,否,2.5
2026/08/06,22:00,5382772,白宮行館沙灘渡假村,精緻海景溫泉4人家庭房含早餐★夏日暢玩露天泳池,42折,4599,110,105,5,否,4.5
2026/08/06,22:00,6084084,House Door 好適家居,日本抗菌表布9cm竹炭記憶床墊,32折,1899,160,156,4,否,2.5
2026/08/06,22:00,14590065,三星,55型 Neo QLED智慧TV,79折,23900,30,27,3,否,10.0
2026/08/06,22:00,14993162,技嘉平台,R5/RX9060XT 16G電競機(R5-7500F/32G/1T),85折,37490,10,7,3,否,30.0
2026/08/06,22:00,13028419,農純鄉,燕窩鱸魚精15包禮盒,74折,2399,75,72,3,否,4.0
2026/08/06,22:00,13719341,KINCHO日本金鳥,室內外防蚊掛片250日(全新升級防蚊網片三件組),48折,1669,300,297,3,否,1.0
2026/08/06,22:00,14693860,官方直營iQOO15 5G凌雲灰(16G/512G/高通S8 Elite Gen 5/5000萬畫素潛望長焦鏡頭/AI電競手機),官方直營iQOO15 5G凌雲灰(16G/512G/高通S8 Elite Gen 5/5000萬畫素潛望長焦鏡頭/AI電競手機),93折,27999,20,19,1,否,5.0
2026/08/06,22:00,12207674,3M,除塵紙拖把補充包箱購特惠組(乾巾/濕巾 可任選2箱),55折,1099,78,78,0,否,0.0
2026/08/06,22:00,9855531,海倫仙度絲,科研去屑洗髮精3入,55折,599,34,84,0,否,0.0
2026/08/07,00:00,14054419,Pure 衣櫃,設計感氣質顯瘦兩件套裝(多款任選),29折,459,650,211,439,否,67.5
2026/08/07,00:00,10046723,Avila阿維拉,強碳酸氣泡水500mlx2箱(共48入),34折,499,600,369,231,否,38.5
2026/08/07,00:00,14469858,得意的一天,義大利橄欖油1Lx3瓶(超值贈品任選),84折,1485,220,142,78,否,35.5
2026/08/07,00:00,10019468,朵舒,棉仔紙超厚柔150抽x84包,46折,829,500,427,73,否,14.6
2026/08/07,00:00,13121462,PowerSync 群加,7開6插防雷擊延長線/1.8M,55折,349,300,234,66,否,22.0
2026/08/07,00:00,14148720,Arowana 亞諾納,速達獨家★小資森活29吋上開式1:9前開式可擴充旅行箱/行李箱,37折,1877,500,447,53,否,10.6
2026/08/07,00:00,12842796,亞培,安素原味 HMB升級配方 90入,82折,6375,150,98,52,否,34.7
2026/08/07,00:00,12984109,ARIEL,超濃縮抗菌抗臭洗衣精8包,78折,859,600,557,43,否,7.2
2026/08/07,00:00,12161679,日本桃雪,飯店大毛巾4件組,31折,999,143,101,42,否,29.4
2026/08/07,00:00,12462401,I.RISS 伊莉絲,8/10件組★提臀輕柔嬰兒棉蠶絲內褲,32折,518,399,358,41,否,10.3
2026/08/07,00:00,14217313,OLAY,水光小白瓶30ml-2入,57折,1379,300,262,38,否,12.7
2026/08/07,00:00,12049739,老爺酒店聯合住宿紙券,限量新券！多館通用★超長效期2027/6/30,83折,3325,150,112,38,否,25.3
2026/08/07,00:00,8143213,LG,寵物版加強淨化循環扇空氣清淨機(PuriCare360°/AS651DSS0,48折,12900,50,15,35,否,70.0
2026/08/07,00:00,13278350,海之醇,台灣去刺鱸魚清肉9+1片組,46折,999,310,278,32,否,10.3
2026/08/07,00:00,11045444,滿意寶寶,寶可夢晚安褲L-XXXL,87折,1099,500,470,30,否,6.0
2026/08/07,00:00,8278933,希爾思,成犬/高齡雞肉12公斤,64折,2449,263,241,22,否,8.4
