icode,brand,name,discount,old_price,price,qty,scraped_at
10334422,瑪莉屋口袋比薩,6吋披薩任選10+1片+100mo,64折,1390,899,349,2026-08-18 18:03:01
15351725,中元普渡拜拜箱 好運平安7件組,中元普渡拜拜箱 好運平安7件組,74折,669,499,112,2026-08-18 18:03:01
12988475,HR 赫蓮娜,黑繃帶修護乳霜50ml,46折,31900,14850,50,2026-08-18 18:03:01
14899787,mo select,台灣製316不鏽鋼防滑六角筷10雙,37折,2380,899,136,2026-08-18 18:03:01
14268002,TCL,85型MiniLED智慧TV,67折,79990,53900,20,2026-08-18 18:03:01
13369259,Apple,Apple Watch SE2 GPS 40mm,73折,7900,5799,49,2026-08-18 18:03:01
14794623,Mio,送安裝 前後4K 後視鏡型行車記錄器 R890WD,85折,13988,11988,5,2026-08-18 18:03:01
14921076,華碩,14吋Core 7輕薄16G,95折,24999,23999,48,2026-08-18 18:03:01
13352709,Kolin 歌林,四重精濾濾水壺(共1壺13芯),45折,3480,1599,31,2026-08-18 18:03:01
8038349,絲花,化妝棉買7送7囤貨組,58折,662,388,342,2026-08-18 18:03:01
15230014,石頭科技,F25 RT GEN 2小白鯊零纏繞洗地機,41折,16800,6999,49,2026-08-18 18:03:01
14559449,FL 生活+,5開門三層摺疊收納箱,44折,5960,2680,120,2026-08-18 18:03:01
11545712,NatureMade 萊萃美,葉黃素20毫克複合膠囊150粒,71折,1699,1211,229,2026-08-18 18:03:01
15482275,Gemini 雙星,竹纖維浴巾2入,59折,1426,849,219,2026-08-18 18:03:01
15175989,營養師輕食,台灣01益生菌 5入組(一入30包),65折,10000,6595,299,2026-08-18 18:03:01
14991731,NEW BALANCENB,411+413跑鞋系列_多款任選,52折,2280,1199,200,2026-08-18 18:03:01
14791054,天仁茗茶,台灣茗賞烏龍茶葉600g,89折,999,890,270,2026-08-18 18:03:01
15172776,Poled,AIRLUV5智能風扇涼感墊,84折,4480,3799,150,2026-08-18 18:03:01
9288701,舒酸定,專業修復抗敏牙膏8入,48折,2079,999,299,2026-08-18 18:03:01
9821716,一滴淨蘆薈多酚洗碗精2瓶+2補包,一滴淨蘆薈多酚洗碗精2瓶+2補包,53折,1190,639,300,2026-08-18 18:03:01
14504452,OASIS,製冰塊瞬冰溫熱淨飲機,5折,19800,9999,30,2026-08-18 18:03:01
14447749,LA NEW,輕量透氣慢跑鞋/運動鞋(男女多款),22折,5380,1188,300,2026-08-18 18:03:01
