icode,brand,name,discount,old_price,price,qty,scraped_at
14691727,dyson,HD16溫控負離子智慧吹風機(普魯士藍限定色),77折,16600,12900,150,2026-08-11 22:03:01
15227699,BIODERMA,舒敏潔膚液4入,32折,3400,1099,200,2026-08-11 22:03:01
15356986,SKECHERS,女款 輕量防水涼鞋 (多款選),57折,1890,1090,299,2026-08-11 22:03:01
10101929,Logitech 羅技,Lift 人體工學垂直藍牙滑鼠,71折,2490,1790,79,2026-08-11 22:03:01
15056655,FILA,韓韶禧代言款 男女慢跑鞋 運動鞋 (多款選),34折,2880,999,189,2026-08-11 22:03:01
13050788,雅詩蘭黛,粉持久氣墊粉餅(一盒2蕊),86折,3713,3200,79,2026-08-11 22:03:01
15203323,老爺酒店集團,超值新券！3張套組★聯合住宿券(正券2張+贈券1張),3折,32340,9899,50,2026-08-11 22:03:01
15359433,成長天地,新品 120cm桌面 兒童書桌椅ME602+AU203,52折,18999,9999,42,2026-08-11 22:03:01
10793357,台隆,Uffy紅外線按摩梳,94折,1880,1780,169,2026-08-11 22:03:01
10372280,大研生醫,視易適葉黃素6入組(共180粒.陳美鳳代言.添加蝦紅素.智利酒果.山桑子),4折,11880,4850,99,2026-08-11 22:03:01
14484776,追覓科技,X50 Ultra五重升降AI全能旗艦機皇,39折,62680,24980,6,2026-08-11 22:03:01
14866418,Arowana 亞諾納,快閃★買大送小｜29吋前開自由時刻河馬箱+送20吋同款登機箱＋16吋旅行袋｜三件併箱出貨,33折,6999,2377,499,2026-08-11 22:03:01
12854850,YOMIX優迷,3入組★磁吸收納Type-C to C100W/C to Lightning30W快充線1M,26折,1785,479,350,2026-08-11 22:03:01
15408909,台塑生醫,髮根標靶健髮洗髮精3入組,7折,1497,1049,26,2026-08-11 22:03:01
4202246,一點絕,2%凝膠餌劑 30g(德國巴斯夫出品/除蟑螂),7折,1550,1090,300,2026-08-11 22:03:01
14191512,Baicycle,U8 PRO電動折疊腳踏車,69折,22800,15888,19,2026-08-11 22:03:01
14587016,WEIDER 威德益生菌x2盒(3gx90包/盒)(美式賣場/益生菌順暢/酵素),WEIDER 威德益生菌x2盒(3gx90包/盒)(美式賣場/益生菌順暢/酵素),81折,2200,1799,180,2026-08-11 22:03:01
9758066,台達電子,多功能浴室廁所循環涼暖風機-標準型300系列遙控型-適用3-6坪,51折,10500,5388,249,2026-08-11 22:03:01
15249606,華碩,17.3吋R7滿血RTX4050,95折,41999,39999,49,2026-08-11 22:03:01
15403392,only,10KG洗脫烘變頻滾筒,9折,11600,10490,27,2026-08-11 22:03:01
11468777,3M,L22 三道式濾淨冷熱飲水機,57折,20900,12111,28,2026-08-11 22:03:01
14924186,PP 石墨烯,石墨烯蠶絲修復眼罩2入,13折,19800,2688,120,2026-08-11 22:03:01
14434335,Apple,iPhone 17 Pro Max(256G/6.9吋)(20W口袋快充行電組),95折,45400,43400,50,2026-08-11 22:03:01
12707475,桂格,滴雞精36包+高麗人蔘6入+康寧保溫瓶,74折,4680,3499,50,2026-08-11 22:03:01
7530852,FAMO 法摩,雙人美眠硬式獨立筒床墊,0.9折,57600,5699,55,2026-08-11 22:03:01
7341640,Buffalo 牛頭牌,小牛不鏽鋼雙耳炒鍋40cm,58折,6500,3799,28,2026-08-11 22:03:01
13929131,Acer,送包鼠★15.6吋 R5輕薄效能,8折,22900,18490,70,2026-08-11 22:03:01
