icode,brand,name,discount,old_price,price,qty,scraped_at
10958352,好奇,小森林尿布 (好眠褲/好動褲/黏貼型),82折,1699,1398,1,2026-08-10 23:00:01
15346066,MSI 微星,15.6吋i9-14HX RTX5060滿血電競,7折,76900,53999,12,2026-08-10 23:00:01
6859685,古寶無患子,育髮秘方洗髮精任4入,41折,1196,499,555,2026-08-10 23:00:01
15491298,麥當勞,麥克雞塊 (10塊)+薯條(大)+可樂(中),7折,212,149,1,2026-08-10 23:00:01
14434857,摩洛哥優油買100送200ml,摩洛哥優油買100送200ml,34折,5200,1799,188,2026-08-10 23:00:01
15051594,POCO X8 Pro Max 6.83 吋 5G(12G/512G/聯發科天璣 9500s /主相機5000 萬畫素,POCO X8 Pro Max 6.83 吋 5G(12G/512G/聯發科天璣 9500s /主相機5000 萬畫素,77折,17999,13999,90,2026-08-10 23:00:01
14019718,成長天地,新實木100cm/120cm兒童書桌椅任選組,52折,16800,8888,85,2026-08-10 23:00:01
15537742,innisfree,維他命C精華,54折,2220,1199,60,2026-08-10 23:00:01
15503313,Milwaukee 美沃奇,18V電鑽起子機雙機組,78折,20000,15688,10,2026-08-10 23:00:01
12584101,德國雙人,Enjoy不沾鍋湯鍋20cm附玻璃蓋,3折,3280,999,292,2026-08-10 23:00:01
14819088,亞馬生醫,MPE-311靈活粒現5盒,47折,7900,3770,50,2026-08-10 23:00:01
13420520,富精多,男性配方 植物性膠囊 60顆/盒 1盒組(精胺酸 肉酸 Q10),69折,7900,5500,6,2026-08-10 23:00:01
13229276,農純鄉,新口味上市!寶寶燉飯150gx16入,66折,1920,1280,378,2026-08-10 23:00:01
6867502,Hang Ten,9件組經典彈力男內褲_多款任選(平口褲/三角褲),51折,1197,620,468,2026-08-10 23:00:01
15182453,MSI 微星,32型 VA 180Hz 2K 曲面電競螢幕,77折,6990,5390,28,2026-08-10 23:00:01
3667789,黑豆桑,滷味醬香6入組(缸底醬油/厚黑金醬油 各3入),42折,2820,1199,91,2026-08-10 23:00:01
13094241,Herman Miller,Aeron2.0人體工學椅,62折,39999,24888,0,2026-08-10 23:00:01
15022873,GIORDANO 佐丹奴,男女裝抽繩鬆緊腰涼感短褲(多色任選),46折,790,369,790,2026-08-10 23:00:01
15226163,九陽,瞬熱RO廚下淨水器,45折,49900,22900,24,2026-08-10 23:00:01
9316878,京城之霜,60植萃全能乳任選4入,29折,10200,2960,88,2026-08-10 23:00:01
14590061,三星,65型Neo QLED AI顯示器,65折,49900,32900,6,2026-08-10 23:00:01
9152341,HERAN 禾聯,熱銷1萬台!最高續航/薄機身濕拖掃地機-mo獨家,49折,5990,2988,90,2026-08-10 23:00:01
15046853,American Explorer 美國探險家,20+28吋 雙開箱 前開式 雙排輪 兩件組 CF39 行李箱 兩用箱 旅行箱,48折,4860,2348,41,2026-08-10 23:00:01
14552511,NEW BALANCE,996_313系列_小童鞋_多款任選(0-4歲),67折,1480,999,138,2026-08-10 23:00:01
6638288,床的世界,涼感天絲乳膠蜂巢式獨立筒床墊,27折,32800,8888,35,2026-08-10 23:00:01
15264635,阿原,momo獨家★艾草皂75gx10入,55折,2900,1599,20,2026-08-10 23:00:01
3911336,好神拖,手壓/腳踩 旋轉拖把組(1拖+1桶+2布),75折,1180,888,172,2026-08-10 23:00:01
