icode,brand,name,discount,old_price,price,qty,scraped_at
11742667,白蘭氏,深海魚油+蝦紅素 3瓶,75折,4260,3195,107,2026-08-20 17:55:01
8278933,希爾思,成犬/高齡犬雞肉12kg,64折,3770,2449,233,2026-08-20 17:55:01
8462055,NIKE 耐吉AIR FORCE 1 07 運動鞋 休閒鞋 男鞋 女鞋 白FORCE(CW2288-111&DD8959-100),NIKE 耐吉AIR FORCE 1 07 運動鞋 休閒鞋 男鞋 女鞋 白FORCE(CW2288-111&DD8959-100),69折,3600,2499,200,2026-08-20 17:55:01
10419093,滿意寶寶,極上呵護輕巧褲L-XL(任選2箱組),73折,3798,2798,492,2026-08-20 17:55:01
14211446,輝葉,WePAPA登山健走機(超慢跑 走路機HY-20613),71折,17800,12800,13,2026-08-20 17:55:01
10165053,KLIM 克寧,100%純生乳奶粉2.2kgx2罐,7折,1780,1250,350,2026-08-20 17:55:01
14920754,髮的食譜,洗護髮3入組★全新上市,58折,1287,749,546,2026-08-20 17:55:01
14862209,Shiny 炫麗,小金豆1克(金重：1克),93折,5888,5488,84,2026-08-20 17:55:01
14953117,麥雪爾,logo涼感五分褲(任選),34折,3100,1080,131,2026-08-20 17:55:01
14953522,樂高,麥拉倫F1賽車42228,65折,7999,5249,56,2026-08-20 17:55:01
12855305,綠的寢飾,買一送一天絲床包枕套組or涼被,2折,3960,799,317,2026-08-20 17:55:01
6480933,禾聯,14吋智能變頻DC風扇 HDF-14A3,4折,2490,999,367,2026-08-20 17:55:01
13528252,Sofy蘇菲,超熟睡/超日安褲型衛生棉箱購,36折,1999,725,1,2026-08-20 17:55:01
15517639,植村秀,無極限精華持久光粉餅,65折,2915,1918,88,2026-08-20 17:55:01
15392526,M.A.C,超水感持色鏡光唇釉,5折,1580,800,383,2026-08-20 17:55:01
8594150,哈根達斯,新經典迷你杯16入組,34折,2000,699,308,2026-08-20 17:55:01
13847709,TOZO,OpenRhyme開放式降噪耳夾無線藍牙耳機,41折,3350,1399,131,2026-08-20 17:55:01
14208908,Le Creuset,專業迷你鑄鐵鍋具3入組,33折,11880,3999,298,2026-08-20 17:55:01
12794553,享食尚,第四代益生菌升級版-眠PLUS 3盒組(90包),57折,6240,3580,130,2026-08-20 17:55:01
15339847,飛利浦,86型QLED智慧TV,66折,59999,39999,19,2026-08-20 17:55:01
15236158,舒潔,棉柔厚韌3層110抽x30包,44折,1299,579,459,2026-08-20 17:55:01
14228051,LG,超值雙層360循環扇空氣清淨機,66折,20900,13900,45,2026-08-20 17:55:01
13517660,明月豆腐,豆腐餅乾5包,84折,690,585,402,2026-08-20 17:55:01
10565038,京城之霜,60植萃全能乳任選2入,31折,3500,1111,242,2026-08-20 17:55:01
6954757,A star,潔牙骨超大桶裝1900G,44折,1670,749,240,2026-08-20 17:55:01
15059122,Lenovo,15.6吋i5 HX版RTX5060電競筆電,87折,49990,43990,25,2026-08-20 17:55:01
15553787,Google,Pixel 11 Pro 5G 6.3吋(12G/256G),9折,40889,36990,48,2026-08-20 17:55:01
12638823,BRITA,去水垢濾心(12入裝),69折,3276,2280,211,2026-08-20 17:55:01
15091883,Philips 飛利浦,HX7421全能亮白音波電動牙刷,93折,6290,5890,99,2026-08-20 17:55:01
15457201,THE VEGAN 樂維根,經典植物優蛋白 2入 1KG/袋,6折,2160,1299,409,2026-08-20 17:55:01
