icode,brand,name,discount,old_price,price,qty,scraped_at
13229603,dyson,V8 SV25 強勁無線吸塵器(經典款),53折,16900,8990,135,2026-08-07 23:55:01
12982769,亞培,葡勝納菁選營養品48入,81折,5290,4320,142,2026-08-07 23:55:01
14944494,Move Free 益節,UC-II加強型迷你錠6瓶(共180錠),55折,7194,3999,255,2026-08-07 23:55:01
12842796,亞培,安素原味 HMB升級配方 90入,82折,7710,6375,133,2026-08-07 23:55:01
7851424,MarCella 瑪榭,7件組★無縫抗菌內褲-薄感中高腰,56折,1953,1111,466,2026-08-07 23:55:01
14885905,MUJI 無印良品,男天竺圓領短袖T恤-多色任選,84折,250,211,848,2026-08-07 23:55:01
12984109,ARIEL,超濃縮抗菌抗臭洗衣精8包,78折,1099,859,521,2026-08-07 23:55:01
12914214,NIKE 精選運動服飾(多款任選),NIKE 精選運動服飾(多款任選),55折,880,488,251,2026-08-07 23:55:01
6532205,五月花,厚棒四層抽取90抽x60,71折,1674,1199,271,2026-08-07 23:55:01
12813998,伊萊克斯,極致美味700半自動義式咖啡機(E7EC1-610P),41折,26900,11111,21,2026-08-07 23:55:01
15055597,聲寶,6-8坪一級變頻冷專空調,58折,38900,22900,6,2026-08-07 23:55:01
15143441,科沃斯,全新T90 PRO滾筒掃拖機器人,35折,54988,19688,38,2026-08-07 23:55:01
14279152,礁溪川湯春天旗艦館,雙人一泊二食早晚餐或四人家庭房含早餐,41折,16000,6600,65,2026-08-07 23:55:01
11729129,德國Emma,6公分雙面睡薄床墊-雙人,37折,10700,3999,66,2026-08-07 23:55:01
15508848,TRYALL,Shake! 高纖果感蛋白隨搖飲-5入組 40g/包*2,65折,990,650,130,2026-08-07 23:55:01
15248937,雅詩蘭黛,小棕瓶100ml買1送1(國際航空版),25折,15800,4011,100,2026-08-07 23:55:01
6739761,胡媽媽灶腳,黃金干貝醬雙享6入組,47折,2550,1199,235,2026-08-07 23:55:01
13147815,杰哥蛋餅,經典眷村味盒子系列4包,84折,998,839,328,2026-08-07 23:55:01
10875512,QUAKER 桂格,特濃黑芝麻穀飲/杏仁果燕麥飲237mlx2盒(共24瓶),59折,840,499,286,2026-08-07 23:55:01
13366515,Alpecin,咖啡因泡沫染髮露200mlx3,64折,2097,1349,189,2026-08-07 23:55:01
14877884,KIPLING,猴猴包新款上市★輕巧實用大容量旅行收納 後背包 手提包 側/肩/斜背包(58款選),36折,5480,1988,167,2026-08-07 23:55:01
12842795,亞培,安素原味 HMB升級配方 60入,82折,5140,4250,194,2026-08-07 23:55:01
15406885,STAUB,鑄鐵飯鍋+飯匙+碗盤3件,45折,10868,4999,60,2026-08-07 23:55:01
15290226,LUDEYA,超緊緻導入美容儀,33折,27160,9088,32,2026-08-07 23:55:01
15132070,Apple,MacBook Air 15吋 M5(16G/512G),97折,49900,48403,9,2026-08-07 23:55:01
13831720,NIKE,AIR JORDAN 1百搭休閒鞋,47折,4000,1899,447,2026-08-07 23:55:01
13120348,成長天地,100cm桌面 兒童書桌椅,56折,13800,7777,44,2026-08-07 23:55:01
14928291,好自在,無痕早安/奢柔褲36片/安睡褲48片,62折,1598,999,467,2026-08-07 23:55:01
14936224,Lenovo,Yoga Tab 12G/256G,81折,18990,15490,50,2026-08-07 23:55:01
